Nivå	Hovedtype_kode	Hovedtype_navn	Kode	Sammensatt_kode	Navn_Kartleggingsenheter 1:2500 for terrestre systemer	Grunntypenr	Grunntypekoder
NA	T6		T6-B-3	NA T6-B-3	eksponert bergknaus i nedre bølgeslagssone	5	T6-5
NA	T7	Snøleie		NA T7			
NA	T7		T7-B-1	NA T7-B-1	svært kalkfattig moderat snøleie	1	T7-1
NA	T7		T7-B-2	NA T7-B-2	svakt kalkfattig moderat snøleie	2	T7-2
NA	T7		T7-B-3	NA T7-B-3	intermediært moderat snøleie	3	T7-3
NA	T7		T7-B-4	NA T7-B-4	intermediært seint snøleie	4	T7-4
NA	T7		T7-B-5	NA T7-B-5	intermediært ekstremsnøleie	5	T7-5
NA	T7		T7-B-6	NA T7-B-6	svakt kalkrikt moderat snøleie	6	T7-6
NA	T7		T7-B-7	NA T7-B-7	svakt kalkrikt seint snøleie	7	T7-7
NA	T7		T7-B-8	NA T7-B-8	sterkt kalkrikt moderat snøleie	8	T7-8
NA	T7		T7-B-9	NA T7-B-9	sterkt kalkrikt seint snøleie	9	T7-9
NA	T7		T7-B-10	NA T7-B-10	kalkrikt ekstremsnøleie	10	T7-10
NA	T7		T7-B-11	NA T7-B-11	vegetasjonsfritt snøleie	11	T7-11
NA	T7		T7-B-12	NA T7-B-12	kildepåvirket intermediært snøleie	12	T7-12
NA	T7		T7-B-13	NA T7-B-13	kildepåvirket nokså kalkrikt snøleie	13	T7-13
NA	T7		T7-B-14	NA T7-B-14	kildepåvirket kalksnøleie	14	T7-14
NA	T8	Fuglefjell-eng og fugletopp		NA T8			
NA	T8		T8-B-1	NA T8-B-1	fuglefjellenger med naturlig gjødslingspreg	1,2	T8-1,T8-2
NA	T8		T8-B-2	NA T8-B-2	overgjødslet fuglefjell-eng	3	T8-3
NA	T8		T8-B-3	NA T8-B-3	kildeåpvirket fuglefjell-eng	4	T8-4
NA	T8		T8-B-4	NA T8-B-4	fulgetopp	5	T8-5
NA	T9	Mosetundra		NA T9			
NA	T9		T9-B-1	NA T9-B-1	fattig-intermediær mosetundra	1	T9-1
NA	T9		T9-B-2	NA T9-B-2	kalkrik mosetundra	2	T9-2
NA	T10	Arktisk steppe		NA T10			
NA	T10		T10-B-1	NA T10-B-1	beskyttet arktisk steppe	1	T10-1
NA	T10		T10-B-2	NA T10-B-2	rabbe i arktisk steppe	2	T10-2
NA	T11	Saltanrikingsmark i fjæresonen		NA T11			
NA	T11		T11-B-1	NA T11-B-1	nedre saltanrikningsmark på grus	1	T11-1
NA	T11		T11-B-2	NA T11-B-2	øvre saltanrikingsmark på grus	2	T11-2
NA	T11		T11-B-3	NA T11-B-3	saltanrikningsmark på bløtbunn	3	T11-3
NA	T12	Strandeng		NA T12			
NA	T12		T12-B-1	NA T12-B-1	nedre strandeng	1	T12-1
NA	T12		T12-B-2	NA T12-B-2	midtre strandeng	2	T12-2
NA	T12		T12-B-3	NA T12-B-3	øvre strandeng	3	T12-3
NA	T12		T12-B-4	NA T12-B-4	øverste strandeng	4	T12-4
NA	T13	Rasmark		NA T13			
NA	T13		T13-B-1	NA T13-B-1	kalkfattig grov ur	1	T13-1
NA	T13		T13-B-2	NA T13-B-2	kalkfattig ur	2	T13-2
NA	T13		T13-B-3	NA T13-B-3	kalkfattig grus- og sanddominert rasmark	3	T13-3
NA	T13		T13-B-4	NA T13-B-4	intermediær og svakt kalkrik grov ur	4	T13-4
NA	T13		T13-B-5	NA T13-B-5	intermediær og svakt kalkrik ur	5	T13-5
NA	T13		T13-B-6	NA T13-B-6	intermediær og svakt kalkrik grus- og sanddominert rasmark	6	T13-6
NA	T13		T13-B-7	NA T13-B-7	sterkt kalkrik grov ur	7	T13-7
NA	T13		T13-B-8	NA T13-B-8	sterkt kalkrik ur	8	T13-8
NA	T13		T13-B-9	NA T13-B-9	sterkt kalkrik grus- og sanddominert rasmark	9	T13-9
NA	T13		T13-B-10	NA T13-B-10	kalkfattig fuktig grov ur	10	T13-10
NA	T13		T13-B-11	NA T13-B-11	kalkfattig fuktig ur	11	T13-11
NA	T13		T13-B-12	NA T13-B-12	intermediær og svakt kalkrik fuktig grov ur	12	T13-12
NA	T13		T13-B-13	NA T13-B-13	intermediær og svakt kalkrik fuktig ur	13	T13-13
NA	T13		T13-B-14	NA T13-B-14	sterkt kalkrik fuktig grov ur	14	T13-14
NA	T13		T13-B-15	NA T13-B-15	sterkt kalkrik fuktig ur	15	T13-15
NA	T13		T13-B-16	NA T13-B-16	ustabil grov ut	16	T13-16
NA	T13		T13-B-17	NA T13-B-17	ustabil ur	17	T13-17
NA	T13		T13-B-18	NA T13-B-18	ustabil grus- og sanddominert rasmark	18	T13-18
NA	T14	Rabbe		NA T14			
NA	T14		T14-B-1	NA T14-B-1	kalkfattig og intermediær rabbe	1	T14-1
NA	T14		T14-B-2	NA T14-B-2	kalkrik rabbe	2	T14-2
NA	T14		T14-B-3	NA T14-B-3	deflasjonsrabbe	3	T14-3
NA	T15	Fosse-eng		NA T15			
NA	T15		T15-B-1	NA T15-B-1	kalkfattig og intermediær fosse-eng	1	T15-1
NA	T15		T15-B-2	NA T15-B-2	kalkrik fosse-eng	2	T15-2
NA	T16	Rasmarkhei og -eng		NA T16			
NA	T16		T16-B-1	NA T16-B-1	kalkfattig rasmarkeng og -hei	1	T16-1
NA	T16		T16-B-2	NA T16-B-2	intermediær rasmarkeng og -hei	2	T16-2
NA	T16		T16-B-3	NA T16-B-3	svakt kalkrik rasmarkeng og -hei	3	T16-3
NA	T16		T16-B-4	NA T16-B-4	sterkt kalkrik rasmarkeng og -hei	4	T16-4
NA	T16		T16-B-5	NA T16-B-5	kildepåvirket intermediær rasmarkeng og -hei	5	T16-5
NA	T16		T16-B-6	NA T16-B-6	kildepåvirket kalkrik rasmarkeng og -hei	6	T16-6
NA	T16		T16-B-7	NA T16-B-7	sterkt raspreget rasmarkeng og -hei	7	T16-7
NA	T17	Aktiv skredmark		NA T17			
NA	T17		T17-B-1	NA T17-B-1	jordskred	1	T17-1
NA	T17		T17-B-2	NA T17-B-2	grusskred	2	T17-2
NA	T17		T17-B-3	NA T17-B-3	sandskred	3	T17-3
NA	T17		T17-B-4	NA T17-B-4	silt- og leirskred	4	T17-4
NA	T18	Åpen flomfastmark		NA T18			
NA	T18		T18-B-1	NA T18-B-1	åpne flomfastmarker på grus og stein    	1	T18-1
NA	T18		T18-B-2	NA T18-B-2	åpen flomfastmark på sand 	2	T18-2
NA	T18		T18-B-3	NA T18-B-3	åpen flomfastmark på  silt og leire	3	T18-3
NA	T18		T18-B-4	NA T18-B-4	sterkt eksponert åpen flomfastmark	4	T18-4
NA	T18		T18-B-5	NA T18-B-5	åpen flomfastmark på kalkrik grus og stein	5	T18-5
NA	T18		T18-B-6	NA T18-B-6	åpen flomfastmakr på sand med klart erosjonspreg	6	T18-6
NA	T19	Oppfrysingsmark		NA T19			
NA	T19		T19-B-1	NA T19-B-1	kalkfattige finjordsflekker	1	T19-1
NA	T19		T19-B-2	NA T19-B-2	kalkrike finjordsflekker	2	T19-2
NA	T20	Isinnfrysingsmark		NA T20			
NA	T20		T20-B-1	NA T20-B-1	kalkfattig og intermediær isinnfrysingsmark	1	T20-1
NA	T20		T20-B-2	NA T20-B-2	kalkrik isinnfrysingsmark	2	T20-2
NA	T21	Sanddynemark		NA T21			
NA	T21		T21-B-1	NA T21-B-1	forstrand	1	T21-1
NA	T21		T21-B-2	NA T21-B-2	primærdyne	2	T21-2
NA	T21		T21-B-3	NA T21-B-3	kvit dyne	3	T21-3
NA	T21		T21-B-4	NA T21-B-4	grå dyne	4	T21-4
NA	T21		T21-B-5	NA T21-B-5	brun dyne	5	T21-5
NA	T21		T21-B-6	NA T21-B-6	dynehei	6	T21-6
NA	T21		T21-B-7	NA T21-B-7	ustabil sanddyne	7	T21-7
NA	T21		T21-B-8	NA T21-B-8	dynetrau	8	T21-8
NA	T22	Fjellgrashei og grastundra		NA T22			
NA	T22		T22-B-1	NA T22-B-1	kalkfattig og intermediær fjellgrashei	1	T22-1
NA	T22		T22-B-2	NA T22-B-2	kalkfattig og intermediær grassnøleie	2	T22-2
NA	T22		T22-B-3	NA T22-B-3	kalkrik fjellgrashei	3	T22-3
NA	T22		T22-B-4	NA T22-B-4	kalkrikt grassnøleie	4	T22-4
NA	T23	Ferskvannsdriftvoll		NA T23			
NA	T23		T23-B-1	NA T23-B-1	ferskvannsdriftvoll	1	T23
NA	T24	Driftvoll		NA T24			
NA	T24		T24-B-1	NA T24-B-1	høgurtdriftvoll	1	T24-1
NA	T24		T24-B-2	NA T24-B-2	lågurtdriftvoll	2	T24-2
NA	T24		T24-B-3	NA T24-B-3	ettårsdriftvoll	3	T24-3
NA	T25	Historisk skredmark		NA T25			
NA	T25		T25-B-1	NA T25-B-1	historisk jordskred	1	T25-1
NA	T25		T25-B-2	NA T25-B-2	historisk grusskred	2	T25-2
NA	T25		T25-B-3	NA T25-B-3	historisk sandskred	3	T25-3
NA	T25		T25-B-4	NA T25-B-4	historisk silt- og leirskred	4	T25-4
NA	T26	Breforland og snøavsmeltingsområde		NA T26			
NA	T26		T26-B-1	NA T26-B-1	veldrenert breforland i etableringsfasen mot fjellhei	1	T26-1
NA	T26		T26-B-2	NA T26-B-2	fuktig breforland i etableringsfasen mot fjellhei	2	T26-2
NA	T26		T26-B-3	NA T26-B-3	veldrenert breforland i etableringsfasen mot snøleie	3	T26-3
NA	T26		T26-B-4	NA T26-B-4	fuktig breforland i etableringsfasen mot snøleie	4	T26-4
NA	T26		T26-B-5	NA T26-B-5	grus- og steindominert breforland i pionérfasen	5	T26-5
NA	T26		T26-B-6	NA T26-B-6	sanddominert breforland i pionérfasen	6	T26-6
NA	T26		T26-B-7	NA T26-B-7	silt- og leirdominert breforland i pionérfasen	7	T26-7
NA	T27	Blokkmark		NA T27			
NA	T27		T27-B-1	NA T27-B-1	kalkfattig og intermediær blokkmark	1	T27-1
NA	T27		T27-B-2	NA T27-B-2	kalkfattig og intermediær snøleie-blokkmark	2	T27-2
NA	T27		T27-B-3	NA T27-B-3	kalkrik blokkmark	3	T27-3
NA	T27		T27-B-4	NA T27-B-4	kalkrik snøleie-blokkmark	4	T27-4
NA	T27		T27-B-5	NA T27-B-5	blokkmark i vegetasjonsfritt snøleie	5	T27-5
NA	T27		T27-B-6	NA T27-B-6	kalkfattig og intermediær rabbepreget blokkmark	6	T27-6
NA	T27		T27-B-7	NA T27-B-7	kalkrik rabbepreget blokkmark	7	T27-7
NA	T27		T27-B-8	NA T27-B-8	pionérfase-blokkmark	8	T27-8
NA	T28	Polarørken		NA T28			
NA	T28		T28-B-1	NA T28-B-1	kalkfattig polarørken	1	T28-1
NA	T28		T28-B-2	NA T28-B-2	intermediær og svakt kalkrik polarørken	2	T28-2
NA	T28		T28-B-3	NA T28-B-3	sterkt kalkrik polarørken	3	T28-3
NA	T29	Grus- og steindominert strand og strandlinje		NA T29			
NA	T29		T29-B-1	NA T29-B-1	øvre steinstrand med pionérvegetasjon	1	T29-1
NA	T29		T29-B-2	NA T29-B-2	øvre steinstrand uten pionérvegetasjon	2	T29-2
NA	T29		T29-B-3	NA T29-B-3	øvre grusstrand med pionérvegetasjon	3	T29-3
NA	T29		T29-B-4	NA T29-B-4	øvre grusstrand uten pionérvegetasjon	4	T29-4
NA	T29		T29-B-5	NA T29-B-5	øvre sandstrand med pionérvegetasjon	5	T29-5
NA	T29		T29-B-6	NA T29-B-6	øvre sandstrand uten pionérvegetasjon	6	T29-6
NA	T29		T29-B-7	NA T29-B-7	nedre steinstrand med pionérvegetasjon	7	T29-7
NA	T29		T29-B-8	NA T29-B-8	nedre grusstrand med pionérvegetasjon	8	T29-8
NA	T29		T29-B-9	NA T29-B-9	nedre sandstrand med pionérvegetasjon	9	T29-9
NA	T29		T29-B-10	NA T29-B-10	øvre grusstrand med vinddeflasjon	10	T29-10
NA	T30	Flomskogsmark		NA T30			
NA	T30		T30-B-1	NA T30-B-1	beskyttet flomskogsmark på grus og stein	1	T30-1
NA	T30		T30-B-2	NA T30-B-2	eksponert flomskogsmark på grus og stein	2	T30-2
NA	T30		T30-B-3	NA T30-B-3	beskyttet flomskogsmark på finmateriale	3	T30-3
NA	T30		T30-B-4	NA T30-B-4	eksponert flomskogsmark på finmateriale	4	T30-4
NA	T30		T30-B-5	NA T30-B-5	beskyttet flomskogsmark med storbregner og høgstauder	5	T30-5
NA	T30		T30-B-6	NA T30-B-6	eksponert flomskogsmark med storbregner og høgstauder	6	T30-6
NA	T30		T30-B-7	NA T30-B-7	erosjonspreget flomskogsmark	7	T30-7
NA	T31	Boreal hei		NA T31			
NA	T31		T31-B-1	NA T31-B-1	kalkfattig boreal frisk hei	1	T31-1
NA	T31		T31-B-2	NA T31-B-2	kalkfattig boreal lynghei	2	T31-2
NA	T31		T31-B-3	NA T31-B-3	kalkfattig boreal lavhei	3	T31-3
NA	T31		T31-B-4	NA T31-B-4	intermediær boreal frisk hei	4	T31-4
NA	T31		T31-B-5	NA T31-B-5	intermediær boreal lynghei	5	T31-5
NA	T31		T31-B-6	NA T31-B-6	intermediær boreal lavhei	6	T31-6
NA	T31		T31-B-7	NA T31-B-7	svakt kalkrik boreal frisk hei	7	T31-7
NA	T31		T31-B-8	NA T31-B-8	svakt kalkrik boreal lynghei	8	T31-8
NA	T31		T31-B-9	NA T31-B-9	svakt kalkrik boreal lavhei	9	T31-9
NA	T31		T31-B-10	NA T31-B-10	sterkt kalkrik boreal frisk hei	10	T31-10
NA	T31		T31-B-11	NA T31-B-11	sterkt kalkrik boreal lynghei	11	T31-11
NA	T31		T31-B-12	NA T31-B-12	sterkt kalkrik boreal lavhei	12	T31-12
NA	T31		T31-B-13	NA T31-B-13	intermediær kildepåvirket boreal frisk hei	13	T31-13
NA	T31		T31-B-14	NA T31-B-14	kalkrik kildepåvirket boreal frisk hei	14	T31-14
NA	T32	Semi-naturlig eng		NA T32			
NA	T32		T32-B-1	NA T32-B-1	kalkfattig eng med mindre hevdpreg	1	T32-1
NA	T32		T32-B-2	NA T32-B-2	kalkfattig eng med klart hevdpreg	2	T32-2
NA	T32		T32-B-3	NA T32-B-3	intermediær eng med mindre hevdpreg	3	T32-3
NA	T32		T32-B-4	NA T32-B-4	intermediær eng med klart hevdpreg	4	T32-4
NA	T32		T32-B-5	NA T32-B-5	intermediær eng med gjødselpåvirkning	5	T32-5
NA	T32		T32-B-6	NA T32-B-6	svakt kalkrik eng med mindre hevdpreg	6	T32-6
NA	T32		T32-B-7	NA T32-B-7	svakt kalkrik eng med klart hevdpreg	7	T32-7
NA	T32		T32-B-8	NA T32-B-8	svakt kalkrik eng med gjødselpåvirkning	8	T32-8
NA	T32		T32-B-9	NA T32-B-9	sterkt kalkrik eng med mindre hevdpreg	9	T32-9
NA	T32		T32-B-10	NA T32-B-10	sterkt kalkrik eng med ekstensivt hevdpreg	10	T32-10
NA	T32		T32-B-11	NA T32-B-11	kalkrik fukteng med mindre hevdpreg	11	T32-11
NA	T32		T32-B-12	NA T32-B-12	kalkrik fukteng med klart hevdpreg og gjødselpåvirkning	12	T32-12
NA	T32		T32-B-13	NA T32-B-13	kalkfattig tørreng med mindre hevdpreg	13	T32-13
NA	T32		T32-B-14	NA T32-B-14	kalkfattig tørreng med klart hevdpreg	14	T32-14
NA	T32		T32-B-15	NA T32-B-15	intermediær tørreng med mindre hevdpreg	15	T32-15
NA	T32		T32-B-16	NA T32-B-16	intermediær tørreng med klart hevdpreg og gjødselpåvirkning	16	T32-16
NA	T32		T32-B-17	NA T32-B-17	svakt kalkrik tørreng med mindre hevdpreg	17	T32-17
NA	T32		T32-B-18	NA T32-B-18	svakt kalkrik tørreng med klart hevdpreg og gjødselpåvirkning	18	T32-18
NA	T32		T32-B-19	NA T32-B-19	sterkt kalkrik tørreng med mindre hevdpreg	19	T32-19
NA	T32		T32-B-20	NA T32-B-20	sterkt kalkrik tørreng med klart hevdpreg	20	T32-20
NA	T32		T32-B-21	NA T32-B-21	sanddyne-eng med klart hevdpreg og gjødselpåvirkning	21	T32-21
NA	T33	Semi-naturlig strandeng		NA T33			
NA	T33		T33-B-1	NA T33-B-1	nedre semi-naturlig strandeng	1	T33-1
NA	T33		T33-B-2	NA T33-B-2	øvre semi-naturlig strandeng	2	T33-2
NA	T34	Kystlynghei		NA T34			
NA	T34		T34-B-1	NA T34-B-1	kalkfattig bakli-hei	1	T34-1
NA	T34		T34-B-2	NA T34-B-2	kalkfattig kystlynghei	2	T34-2
NA	T34		T34-B-3	NA T34-B-3	kalkfattig tørr kystlynghei	3	T34-3
NA	T34		T34-B-4	NA T34-B-4	intermediær bakli-hei	4	T34-4
NA	T34		T34-B-5	NA T34-B-5	intermediær kystlynghei	5	T34-5
NA	T34		T34-B-6	NA T34-B-6	intermediær tørr kystlynghei	6	T34-6
NA	T34		T34-B-7	NA T34-B-7	svakt kalkrik kystlynghei	7	T34-7
NA	T34		T34-B-8	NA T34-B-8	svakt kalkrik tørr kystlynghei	8	T34-8
NA	T34		T34-B-9	NA T34-B-9	sterkt kalkrik kystlynghei	9	T34-9
NA	T34		T34-B-10	NA T34-B-10	sterkt kalkrik tørr kystlynghei	10	T34-10
NA	T34		T34-B-11	NA T34-B-11	kalkfattig fuktig kystlynghei	11	T34-11
NA	T34		T34-B-12	NA T34-B-12	intermediær fuktig kystlynghei	12	T34-12
NA	T35	Løs sterkt endret fastmark		NA T35			
NA	T35		T35-B-1	NA T35-B-1	sterkt endret fastmark med jorddekke	1	T35-1
NA	T35		T35-B-2	NA T35-B-2	sterkt endret fastmark med grusdekke	2	T35-2
NA	T35		T35-B-3	NA T35-B-3	sterkt endret fastmark med sanddekke	3	T35-3
NA	T35		T35-B-4	NA T35-B-4	sterkt endret fastmark med dekke av silt og leire	4	T35-4
NA	T36	Tørrlagte våtmarks- og ferskvannssystemer		NA T36			
NA	T36		T36-B-1	NA T36-B-1	sterkt endret tidligere våtmark	1	T36-1
NA	T36		T36-B-2	NA T36-B-2	tørrlagt elvebunn	2	T36-2
NA	T36		T36-B-3	NA T36-B-3	tørrlagt innsjøbunn	3	T36-3
NA	T37	Ny løs fastmark		NA T37			
NA	T37		T37-B-1	NA T37-B-1	slagghauger og deponier for fast kjemisk avfall	1	T37-1
NA	T37		T37-B-2	NA T37-B-2	asfalt, løs betong o.l.	2	T37-2
NA	T37		T37-B-3	NA T37-B-3	avfallsdeponi o.l.	3	T37-3
NA	T38	Treplantasje		NA T38			
NA	T38		T38-B-1	NA T38-B-1	treplantasje	1	T38
NA	T39	Hard sterkt endret fastmark		NA T39			
NA	T39		T39-B-1	NA T39-B-1	blokkdeponi	1	T39-1
NA	T39		T39-B-2	NA T39-B-2	blokkdeponi under gjengroing	2	T39-2
NA	T39		T39-B-3	NA T39-B-3	dagbrudd, vegskjæringer i fjell o.l.	3	T39-3
